,ts_code,ann_date,year,div_proc,stk_div,div_chg_per,prima_20,prima_40,prima_60,prima_120,prima_240
17759,600518.SH,20090319,2009,实施,1.0,1.0,0.13953441832209124,-0.0431247079559659,0.21247152172664907,0.1860696956474872,0.41890893818338704
17760,600518.SH,20080201,2008,实施,0.5,-0.5,0.17465516186683572,0.22551233054973463,0.2028285933095486,-0.3865278553068825,0.24523926368058024
17761,600518.SH,20070323,2007,实施,1.0,1.0,0.2704325160963097,-0.02707572406235126,0.06957459744949235,-0.15606262863581133,0.2683552373153695
17762,600518.SH,20060322,2006,实施,0.5,5,0.009098812780743204,-0.12537552210625869,-0.058660286792734606,-0.06743369527792897,0.1561419731572562
17763,600518.SH,20050302,2005,实施,0.0,-0.999999998,0.014967147561811833,0.0213370090164704,-0.04995413754888778,0.18682029527922261,-0.23154107130196455
17764,600518.SH,20040319,2004,实施,0.5,5,-0.03565092208580023,0.05462834533589689,0.04410939437216399,-0.2102691328635774,-0.2083843982179825
17765,600518.SH,20030322,2003,实施,0.0,0.0,-0.01689340336330658,0.03435494703199082,-0.08553480641204547,0.0,0.0
17766,600518.SH,20020326,2002,实施,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17768,002198.SZ,20170815,2017,实施,0.0,-1.0,-0.029520443090286674,-0.0680213079031542,0.015276155796172697,-0.061095536440637144,-0.0008038178779236071
17769,002198.SZ,20140305,2014,实施,1.0,5,0.2581226611356904,0.25236701138021744,0.1355481999843018,-0.01737239170117777,0.39515049627813403
17770,002198.SZ,20130409,2013,实施,0.0,-0.999999996,-0.03144944017439988,0.22700900183719974,-0.06406015924700725,-0.008755071744927734,0.06886174448786053
17771,002198.SZ,20110316,2011,实施,0.25,-0.75,0.07688832865752682,-0.044420851772197345,-0.053980433411013884,0.09423062107848668,0.3116824387117816
17773,002219.SZ,20150826,2015,实施,1.5,2.75,0.3345150370476966,-0.013285097791394751,-0.04886547483292103,0.514387803200983,-0.2963437947122852
17774,002219.SZ,20140128,2014,实施,0.4,1.6666666666666667,0.14643774350398342,0.24169433144156915,0.05178921124364533,-0.16319846943201544,0.7623513637044128
17775,002219.SZ,20120420,2012,实施,0.15,-0.4,0.02243509103544805,0.030390206384877327,0.19525544310531417,-0.028771599823869787,0.07918852229979167
17776,002219.SZ,20110415,2011,实施,0.25,-0.5833333333333334,0.06560253954269202,0.0605731806939902,0.017115637388427807,-0.009333766533513699,0.17597985971590924
17777,002219.SZ,20100826,2010,实施,0.6,-0.4,0.020138869509273016,0.26222970793174927,-0.10943802717494833,-0.04861387095255565,0.160289448885913
17779,002644.SZ,20190322,2019,实施,0.0,-1.0,-0.01776345410145941,-0.052891627236152816,-0.01713932047521638,0.017152336651496958,-0.08494080323093678
17780,002644.SZ,20180213,2018,实施,0.0,0.0,0.08683117326776801,-0.020260707012724644,-0.02534668686381414,0.019913745358770996,-0.1650434663006507
17781,002644.SZ,20170317,2017,实施,0.0,0.0,0.05222471774393944,-0.09359709747048006,0.033607839084635494,-0.043392224094125464,-0.0954458740077021
17782,002644.SZ,20160317,2016,实施,0.0,-0.9999999993333333,-0.0714583695061155,0.0862707946383372,-0.07916690760213008,0.16545657775503386,0.5163921334124282
17783,002644.SZ,20150717,2015,实施,1.5,5,-0.17487122296036262,0.11613642052560058,0.5686018182827137,0.07628637210783928,-0.14315633148391627
17784,002644.SZ,20150410,2015,实施,0.0,-0.999999999,0.06059534934553468,-0.018528150130472376,0.12209794868164026,-0.44942896958378886,0.54154046778137
17785,002644.SZ,20140411,2014,实施,1.0,5,-0.03528116572892881,-0.10292099849099134,0.08355366069307446,0.405670749320292,0.13169953500330456
17786,002644.SZ,20130411,2013,实施,0.0,-0.9999999900000001,0.13846757615985927,0.022848616605556593,0.07283716788580374,-0.02074695750025657,0.2975351737690748
17788,002107.SZ,20190201,2019,实施,0.0,-1.0,-0.0504560437415813,-0.06753040851548686,0.09870629443502055,-0.047728264224591865,-0.08830435240704626
17789,002107.SZ,20160419,2016,实施,0.0,-0.9999999991666666,0.07180358419060373,-0.06010688942305231,0.03985447623845695,-0.18381583539504298,-0.10594192581720552
17790,002107.SZ,20150115,2015,实施,1.2,5,0.04205738301735784,-0.1103711208545125,-0.06549149323830783,0.4021252976103036,0.1700910643859206
17791,002107.SZ,20140218,2014,实施,0.0,-0.999999999,0.12365153277684415,0.14511828723792664,-0.14020541651962737,0.1364071021315112,0.3686682964700747
